actor_name,actor_slug
Ли Чжон Хён,li-chzhon-khion
Ниихара Тайсукэ,niikhara-taisuke
Дэн Вэй,den-vei
Хан Сон Хва,khan-son-khva
Ли Га Ын,li-ga-yn
Вью Беньяпа Тжинпрасом,viu-beniapa-tzhinprasom
Такахаси Хикару,takakhasi-khikaru
Лай Юй Мэн,lai-iui-men
Шан Сюань,shan-siuan
Пэй Цзы Тянь,pei-tszy-tian
Рю Джин,riu-dzhin
Дай Гао Чжэн,dai-gao-chzhen
Пимми Пимпрапа Танпрапапон,pimmi-pimprapa-tanprapapon
Ким Джи Су,kim-dzhi-su
Чан Ми Кван,chan-mi-kvan
Лю Сюэ И,liu-siue-i
Чжоу Чуань Цзюнь,chzhou-chuan-tsziun
Фу Синь Бо,fu-sin-bo
Ли Вон Гын,li-von-gyn
Чо Юн Хи,cho-iun-khi
Ошинари Шуго,oshinari-shugo
Миками Аи,mikami-ai
Чо Ын Джи,cho-yn-dzhi
О Сын А,o-syn-a
Год Иттипат Танит,god-ittipat-tanit
Нам Сан Ми,nam-san-mi
Ван И Тин,van-i-tin
Ли Хи Чжун,li-khi-chzhun
Ло Юнь Си,lo-iun-si
Хаями Акари,khaiami-akari
Линь Юнь,lin-iun
Чо Сын У,cho-syn-u
Ватанабэ Кэйсукэ,vatanabe-keisuke
Ван Хан Вэнь,van-khan-ven
Микс Сахапхап Вонрат,miks-sakhapkhap-vonrat
Кисий Юкино,kisii-iukino
Порш Саран Сирилак,porsh-saran-sirilak
Го Чэн,go-chen
Ким Рве Ха,kim-rve-kha
Ло Ши Ци,lo-shi-tsi
Май Варит Сирисантана,mai-varit-sirisantana
Ябуки Нако,iabuki-nako
Чжан Синь,chzhan-sin
Ким Му Ёль,kim-mu-iol
Нам Джу Хёк,nam-dzhu-khiok
Со Хён,so-khion
Мукаи Осаму,mukai-osamu
Сяо Юй,siao-iui
Жэнь Хао,zhen-khao
Чэн Фань,chen-fan
Ананда Эверингем,ananda-everingem
Го Хён Чжон,go-khion-chzhon
Сунь И Нин,sun-i-nin
Цзян И И,tszian-i-i
Ким Ю Хван,kim-iu-khvan
Хан Ги Чхан,khan-gi-chkhan
Ваннесс Ву,vanness-vu
Линь Цзе Хуэй,lin-tsze-khuei
Чжэн Цю Хун,chzhen-tsiu-khun
Пак Гю Ён,pak-giu-ion
Чиппи Сирин Придиянон,chippi-sirin-pridiianon
Ким До Ван,kim-do-van
Мелвин Сыа,melvin-sya
Ким Хэ Сук,kim-khe-suk
Ло Чжэн,lo-chzhen
Фу Вэй Лунь,fu-vei-lun
Крин Атсадапон Сириваттанакун,krin-atsadapon-sirivattanakun
Марио Маурер,mario-maurer
Бэнк Атит Танвибунпанит,benk-atit-tanvibunpanit
Чжуан Да Фэй,chzhuan-da-fei
Ли Чан У,li-chan-u
Сюй Бинь,siui-bin
Ли Ын Сэм,li-yn-sem
Чан Ё Бин,chan-io-bin
Чжоу И Жань,chzhou-i-zhan
Хан Сок Гю,khan-sok-giu
Сираиси Май,siraisi-mai
Бянь Чэн,bian-chen
Лу Юй Сяо,lu-iui-siao
Цзян Чэнь,tszian-chen
Гао Хань,gao-khan
Ван Жуй Чан,van-zhui-chan
Мук Мукда Наринрак,muk-mukda-narinrak
Ю Сон,iu-son
Ким Сон А,kim-son-a
Пэт Напапа Тантракун,pet-napapa-tantrakun
Айс Причая Понтананикон,ais-prichaia-pontananikon
Го Сяо Тин,go-siao-tin
Хэ Чан Си,khe-chan-si
Хань Дун,khan-dun
Хон Кён,khon-kion
Го Чжу Вон,go-chzhu-von
Нин Ли,nin-li
A-Moon,a-moon
Алекс Рэнделл,aleks-rendell
Аракава Ёсиёси,arakava-iosiiosi
Ли Чхан Хён,li-chkhan-khion
Нагахама Нэру,nagakhama-neru
Шин Дон Хо,shin-don-kho
Ти Танапон Тжарутжитранон,ti-tanapon-tzharutzhitranon
Акита Сиори,akita-siori
Мон Танатчай Вичитвонтон,mon-tanatchai-vichitvonton
Чхве Мин Сик,chkhve-min-sik
На Ён Хи,na-ion-khi
Мук Воранит Тавонвон,muk-voranit-tavonvon
Джес Тжетпипат Тилапонпат,dzhes-tzhetpipat-tilaponpat
Накамото Юта,nakamoto-iuta
Цзун Фэн Янь,tszun-fen-ian
Ким Мин Джэ,kim-min-dzhe
Ким Со Ён,kim-so-ion
Хван Мин Хён,khvan-min-khion
И Хэн,i-khen
Чон Мин Сон,chon-min-son
Кан Бёль,kan-biol
Хён У,khion-u
Кан Ён Сок,kan-ion-sok
Пак Джу Ми,pak-dzhu-mi
Син Фэй,sin-fei
Со Хё Рим,so-khio-rim
Тун Мэн Ши,tun-men-shi
Би Тассапак Чи,bi-tassapak-chi
Масима Хидэкадзу,masima-khidekadzu
Жэнь Минь,zhen-min
Тор Танапоп Лиратанакатжон,tor-tanapop-liratanakatzhon
Чжан Синь И,chzhan-sin-i
Со Джи Хун,so-dzhi-khun
Кан Син Иль,kan-sin-il
Фудзиока Майто,fudzioka-maito
Чжао Чжи Вэй,chzhao-chzhi-vei
Ли Хён Джу,li-khion-dzhu
Люй Сяо Юй,liui-siao-iui
Тянь Юй,tian-iui
Чхве Дэ Хун,chkhve-de-khun
Су Э,su-e
Цзинь Хань,tszin-khan
Бай Бай Хэ,bai-bai-khe
Исии Анна,isii-anna
Ким Ён Кван,kim-ion-kvan
Ю Сун Чхоль,iu-sun-chkhol
Грет Сапол Асаваманкон,gret-sapol-asavamankon
Масико Ацуки,masiko-atsuki
Вэй Да Сюнь,vei-da-siun
Бо Мэйлада Суси,bo-meilada-susi
Со Кан Джун,so-kan-dzhun
Чжао Юань Юань,chzhao-iuan-iuan
Мун Чжон Хи,mun-chzhon-khi
Чо Пён Гю,cho-pion-giu
Гу Гё Хван,gu-gio-khvan
Ким Дон Ук,kim-don-uk
Нью Тхитипум Течаапайкхун,niu-tkhitipum-techaapaikkhun
Ым Мун Сок,ym-mun-sok
Соль Ин А,sol-in-a
Пак Соломон,pak-solomon
Пэн Гуань Ин,pen-guan-in
Чжоу Цзы Синь,chzhou-tszy-sin
Чон Га Рам,chon-ga-ram
Ким Квон,kim-kvon
Чжоу Чэн Ао,chzhou-chen-ao
Ким Джун,kim-dzhun
Луис Фань,luis-fan
Сяо Юй Лян,siao-iui-lian
Сон Чон Хо,son-chon-kho
Прим Чаникан Танкабоди,prim-chanikan-tankabodi
Ким До Хён,kim-do-khion
Хань Чэн Юй,khan-chen-iui
Со Ын Су,so-yn-su
Ёсида Ё,iosida-io
Бай Юй,bai-iui
Кан Ю Сок,kan-iu-sok
Чхве Мён Гиль,chkhve-mion-gil
Хан Да Соль,khan-da-sol
Гулиначжа,gulinachzha
Син Джэ Ха,sin-dzhe-kha
Юн Ё Чжон,iun-io-chzhon
Чха Тхэ Хён,chkha-tkhe-khion
Ким Джи Хун,kim-dzhi-khun
Сон Чжи Ын,son-chzhi-yn
Эм Апинан Прасетваттанакун,em-apinan-prasetvattanakun
Чон Сок Хо,chon-sok-kho
Чэнь Ши Чэн,chen-shi-chen
Юн Чхан Ён,iun-chkhan-ion
Лю Минь Тин,liu-min-tin
Не Цзи Хао,ne-tszi-khao
Ким Джу Хён,kim-dzhu-khion
Линь И,lin-i
Руби Линь,rubi-lin
Чжао Вэй,chzhao-vei
Пан Мин А,pan-min-a
Катаёсэ Рёта,kataiose-riota
Лю Тэ,liu-te
Чжу Я Вэнь,chzhu-ia-ven
Чон Гон Джу,chon-gon-dzhu
Чон У Ён,chon-u-ion
Чо И Хён,cho-i-khion
Чжоу Цзюнь Чао,chzhou-tsziun-chao
Ван Та Лу,van-ta-lu
Ли Да Ин,li-da-in
Каваниси Такуми,kavanisi-takumi
Сакураба Нанами,sakuraba-nanami
Пэк Мин Хен,pek-min-khen
Чон Ё Бин,chon-io-bin
Ва Эр,va-er
Чжан Синь Юй,chzhan-sin-iui
Дэн Лунь,den-lun
Дун Сюань,dun-siuan
Лю Чан,liu-chan
Куроба Марио,kuroba-mario
Ся Чжи Гуан,sia-chzhi-guan
Патрисия Танчанок Гуд,patrisiia-tanchanok-gud
Марк Чао,mark-chao
Ху И Тянь,khu-i-tian
Ом Пават Читсаванди,om-pavat-chitsavandi
Сюй Вэй Чжоу,siui-vei-chzhou
Чжан Сяо Чэнь,chzhan-siao-chen
Ху Бин Цин,khu-bin-tsin
Тонхом Сакунтала Тиенпайрот,tonkhom-sakuntala-tienpairot
Китаяма Хиромицу,kitaiama-khiromitsu
Дэгути Нацуко,deguti-natsuko
Ван Фэй Фэй,van-fei-fei
Чон Кён Хо,chon-kion-kho
Цуй Хан,tsui-khan
Юй Бо,iui-bo
Соним,sonim
Ким Се Чжон,kim-se-chzhon
Сон Джун Ки,son-dzhun-ki
Ким Чон Тхэ,kim-chon-tkhe
Цао Цзюнь,tsao-tsziun
Жэнь Янь Кай,zhen-ian-kai
Ви Ха Джун,vi-kha-dzhun
Юй Кай Нин,iui-kai-nin
Хэ Фэн Тянь,khe-fen-tian
На Ин У,na-in-u
Анна Тонгпрасом,anna-tongprasom
Пак Чжи Юн,pak-chzhi-iun
Чэнь Бо Линь,chen-bo-lin
Пё Йе Чжин,pio-ie-chzhin
Ли Чунь,li-chun
Судзуки Джин,sudzuki-dzhin
Чиба Юдай,chiba-iudai
Хан Со Хи,khan-so-khi
Соня Суй,sonia-sui
Хон Су Хён,khon-su-khion
Сю Цзе Кай,siu-tsze-kai
Им Юн А,im-iun-a
Юн Со Хи,iun-so-khi
Ма Сы Чунь,ma-sy-chun
Денни Хуан,denni-khuan
Ван Жунь Цзэ,van-zhun-tsze
Вань Янь Ло Жун,van-ian-lo-zhun
Понд Наравит Летраткосум,pond-naravit-letratkosum
Ли Чжу Сын,li-chzhu-syn
Чжан Тянь Ай,chzhan-tian-ai
Сано Рэо,sano-reo
Сакурада Дори,sakurada-dori
Сунь Ли,sun-li
Се И Бо,se-i-bo
Квон На Ра,kvon-na-ra
Гу Лань Ди,gu-lan-di
Юн Чжи Мин,iun-chzhi-min
Со Чжон Ён,so-chzhon-ion
Боско Вон,bosko-von
Гуань Синь,guan-sin
Чон Ин Сон,chon-in-son
Хиросэ Судзу,khirose-sudzu
Рю Су Ён,riu-su-ion
Пак Се Ван,pak-se-van
Пак Джэ Чан,pak-dzhe-chan
Шао Юнь,shao-iun
Хан Джи Мин,khan-dzhi-min
Ким Чон Хон,kim-chon-khon
Ан Джэ Хон,an-dzhe-khon
Ю Джи Тхэ,iu-dzhi-tkhe
Пон Наваш Пупантачаси,pon-navash-pupantachasi
Пак Чхэ Рин,pak-chkhe-rin
Ю Юэ,iu-iue
Ли Си Он,li-si-on
Лай И,lai-i
Юань Вэнь Кан,iuan-ven-kan
Оикава Мицухиро,oikava-mitsukhiro
Юн Со Бин,iun-so-bin
Се Син Ян,se-sin-ian
Фа Йонвари Намкасем,fa-ionvari-namkasem
Со Чжи Соп,so-chzhi-sop
Танабэ Момоко,tanabe-momoko
Риза Алимжан,riza-alimzhan
О Ён Со,o-ion-so
Нанао,nanao
Ся Жо Янь,sia-zho-ian
Хван Хи,khvan-khi
Ван Цзы Ци,van-tszy-tsi
Гао Тай Юй,gao-tai-iui
Чон Джи Со,chon-dzhi-so
Ай Саранчана Апасимаиманкул,ai-saranchana-apasimaimankul
Ли Мин Ён,li-min-ion
Пань Цзы Цзянь,pan-tszy-tszian
Квон Су Хён,kvon-su-khion
Джоб Тхачапон Кувонбандит,dzhob-tkhachapon-kuvonbandit
Жэнь Цзя Лунь,zhen-tszia-lun
Чжин Ки Чжу,chzhin-ki-chzhu
Сон Сон Юн,son-son-iun
Ло Хун Чжэн,lo-khun-chzhen
Ли Мин Ки,li-min-ki
Цзинь Цзэ,tszin-tsze
Мун Джи Ху,mun-dzhi-khu
Кан Джун Кю,kan-dzhun-kiu
Ли Сон Гюн,li-son-giun
Ли Со Ён,li-so-ion
Мао Цзы Цзюнь,mao-tszy-tsziun
АйЮ,aiiu
Хви Ён,khvi-ion
Чжэн Хэ Хуэй Цзы,chzhen-khe-khuei-tszy
Кикути Фума,kikuti-fuma
Ли Джон Хёк,li-dzhon-khiok
Ван Цзы Вэнь,van-tszy-ven
Кан Чжи Соп,kan-chzhi-sop
Ли Дон Ук,li-don-uk
Синтия Кармен Бишоп,sintiia-karmen-bishop
Сян Хань Чжи,sian-khan-chzhi
Сюй Сяо Но,siui-siao-no
Яо Чэнь,iao-chen
Миу Нитта Тжираянъюн,miu-nitta-tzhiraianiun
Нэк Чарли Трайрат,nek-charli-trairat
Сота Рёсукэ,sota-riosuke
Ли Юн Чжи,li-iun-chzhi
Гун Цзюнь,gun-tsziun
Син Йе Ын,sin-ie-yn
Ким Ён Чжи,kim-ion-chzhi
Фу Юй Шу,fu-iui-shu
Ким Бён Чхоль,kim-bion-chkhol
Ню Цзы Фань,niu-tszy-fan
Пипи Пунприди Кхумпром Родсават,pipi-punpridi-kkhumprom-rodsavat
Сун И Жэнь,sun-i-zhen
Но Сан Хён,no-san-khion
Судзуки Айри,sudzuki-airi
Отани Рёхэй,otani-riokhei
Ким Хё Сон,kim-khio-son
Ли Хён У,li-khion-u
Марк Пахун Тжиячарэн,mark-pakhun-tzhiiacharen
Чжай Тянь Линь,chzhai-tian-lin
Юн Пак,iun-pak
Пэн Цзянь Сюн,pen-tszian-siun
Ким Сон Ён,kim-son-ion
Ян Юй Тин,ian-iui-tin
Ли Синь Жань,li-sin-zhan
Ян Лэ,ian-le
Лю Инь Цзюнь,liu-in-tsziun
Ван Сюань,van-siuan
Ю Хэ Чжин,iu-khe-chzhin
Чха У Мин,chkha-u-min
Нат Тепхассадин На Аюттая,nat-tepkhassadin-na-aiuttaia
И Да Цянь,i-da-tsian
Вивиан Сун,vivian-sun
Чжан Цзы Фэн,chzhan-tszy-fen
Сунь И,sunb-i
Ма Ли,ma-li
Ким Чжэ Вон,kim-chzhe-von
Цзинь Ян Ян,tszin-ian-ian
Шисон Джун,shison-dzhun
Дэн Цзя Цзя,den-tszia-tszia
Сон На Ын,son-na-yn
Итикава Юи,itikava-iui
Ли Тин Тин,li-tin-tin
Ху И Яо,khu-i-iao
Ким Чжи Сок,kim-chzhi-sok
Сон Джи Хё,son-dzhi-khio
Син Хён Бин,sin-khion-bin
Мун Га Ён,mun-ga-ion
Чэнь И Лун,chen-i-lun
Лян Цзе,lian-tsze
Ферн Ноптжира Леккатжоннамкун,fern-noptzhira-lekkatzhonnamkun
Ли Дун Хэн,li-dun-khen
Хонда Цубаса,khonda-tsubasa
Э Ли Я,e-li-ia
Миура Харума,miura-kharuma
Ян Цзэ,ian-tsze
Ким Со Ын,kim-so-yn
Чу Сан Ук,chu-san-uk
Пак Ха Сон,pak-kha-son
Ма Дон Сок,ma-don-sok
Сюй Кэ,siui-ke
Чжоу И Сюань,chzhou-i-siuan
Ан До Гю,an-do-giu
Пак Гын Хён,pak-gyn-khion
Хо Джун Хо,kho-dzhun-kho
Юн Хён Мин,iun-khion-min
Хон Джи Су,khon-dzhi-su
Лю Лин Цзы,liu-lin-tszy
Дин Сяо Ин,din-siao-in
Уоллес Чун,uolles-chun
Ли Джон Ха,li-dzhon-kha
Чжи Чжин Хи,chzhi-chzhin-khi
Чжао Сяо Тан,chzhao-siao-tan
Суда Масаки,suda-masaki
Чхэ Джон Хёп,chkhe-dzhon-khiop
Сюй Жо Хань,siui-zho-khan
Ма Кэ,ma-ke
Дженни Чан,dzhenni-chan
Ли Сан У,li-san-u
Сэйно Нана,seino-nana
Вон Тхэ Мин,von-tkhe-min
Ма Вэнь Юань,ma-ven-iuan
Сон Кан Хо,son-kan-kho
Син Хе Сон,sin-khe-son
Гуань Чан,guan-chan
Ли Чхон А,li-chkhon-a
Кура Юки,kura-iuki
Сон Юк Сонпайсан,son-iuk-sonpaisan
Канти Лау,kanti-lau
Ван Сюй Дун,van-siui-dun
Иитоё Мариэ,iitoio-marie
Ли Се Хи,li-se-khi
Нагано Мэй,nagano-mei
Чжан Чу Хань,chzhan-chu-khan
Квон Мин А,kvon-min-a
Чжао Цзинь Май,chzhao-tszin-mai
Хуан Сюань,khuan-siuan
Пэ Чон Ок,pe-chon-ok
Чо Сон Ха,cho-son-kha
Лай Гуань Линь,lai-guan-lin
Чжи Чан Ук,chzhi-chan-uk
О Чжон Се,o-chzhon-se
Той Понсакон Меттариканон,toi-ponsakon-mettarikanon
Чхве Йе Бин,chkhve-ie-bin
Лю Тао,liu-tao
Кимура Рё,kimura-rio
Цутия Тао,tsutiia-tao
Ли Пён Чжун,li-pion-chzhun
Хван Чон Мин,khvan-chon-min
Цай Хуан Жу,tsai-khuan-zhu
Мацусима Нанако,matsusima-nanako
Хэ И Чэнь,khe-i-chen
Пак Хо Сан,pak-kho-san
Цуй Юй Синь,tsui-iui-sin
Ю Ён Сок,iu-ion-sok
Син Хён Чжун,sin-khion-chzhun
Ли Цзюнь Чэнь,li-tsziun-chen
Сон Джун,son-dzhun
Ту Сун Янь,tu-sun-ian
Аидзава Рина,aidzava-rina
Ким Ок Бин,kim-ok-bin
Ли Дон Хви,li-don-khvi
Гун Жуй,gun-zhui
Сун Пэй Цзэ,sun-pei-tsze
Хван Сын Он,khvan-syn-on
Эмбер Ан,ember-an
Дэн Кай,den-kai
Лю Юн Си,liu-iun-si
Ван И Лунь,van-i-lun
Лю И Тун,liu-i-tun
Цзинь Чэнь,tszin-chen
Чжан Хань Юнь,chzhan-khan-iun
Ли Чхэ Мин,li-chkhe-min
Цзинь Цзы Сюань,tszin-tszy-siuan
Ан Нэ Сан,an-ne-san
Квон Сан У,kvon-san-u
Ча Хак Ён,cha-khak-ion
Чон Ён Ин,chon-ion-in
Юк Сон Чжэ,iuk-son-chzhe
Ган Аттапхан Пунсават,gan-attapkhan-punsavat
Цао Си Вэнь,tsao-si-ven
Пак Со Джун,pak-so-dzhun
Вивьен Сюй,viven-siui
Пак Чжон Ён,pak-chzhon-ion
Ким Юн Хе,kim-iun-khe
Ло Мин Цзе,lo-min-tsze
Такасуги Махиро,takasugi-makhiro
Намтан Пичаккана Вонсараттанасин,namtan-pichakkana-vonsarattanasin
Мун Со Ри,mun-so-ri
Го Су,go-su
Чжан Цзе,chzhan-tsze
Пак Джи Хён,pak-dzhi-khion
Го Сон Хи,go-son-khi
Чжэн Е Чэн,chzhen-e-chen
Поппи Ратчапхон Аномкити,poppi-ratchapkhon-anomkiti
Чан До Ён,chan-do-ion
Ли Син Ён,li-sin-ion
До Сан У,do-san-u
Му Джин Сон,mu-dzhin-son
Ху Вэнь Чжэ,khu-ven-chzhe
Ким Ю Чжон,kim-iu-chzhon
Лю Хай Куань,liu-khai-kuan
О На Ра,o-na-ra
Ким Сон Хёк,kim-son-khiok
Хван Чжон Ым,khvan-chzhon-ym
Ли Джин Соль,li-dzhin-sol
Итиносэ Ватару,itinose-vataru
Имада Мио,imada-mio
Ким Хи Вон,kim-khi-von
Зи Прук Панит,zi-pruk-panit
Джек Ли,dzhek-li
Ван Цзы Сюань,van-tszy-siuan
Майк Чиннарат Сирипхончхавалит,maik-chinnarat-siripkhonchkhavalit
Ю Ин На,iu-in-na
Дай Сюй,dai-siui
Цю Дин Цзе,tsiu-din-tsze
Ван Чу Жань,van-chu-zhan
Хига Манами,khiga-manami
Джиллиан Чун,dzhillian-chun
Ким До Ён,kim-do-ion
Джексон И,dzhekson-i
Лян Цзин Кан,lian-tszin-kan
Кан Мин Хёк,kan-min-khiok
Ким Су Хён,kim-su-khion
Чжу Мин Гён,chzhu-min-gion
Пак Бо Гом,pak-bo-gom
Ким У Cок,kim-u-cok
Акасо Эйдзи,akaso-eidzi
Ван Чжо Чэн,van-chzho-chen
Син Ын Су,sin-yn-su
Ямамото Мидзуки,iamamoto-midzuki
Лю Чэн Линь,liu-chen-lin
Соль Кён Гу,sol-kion-gu
Чжай Цзы Лу,chzhai-tszy-lu
Ким Хи Э,kim-khi-e
Охара Сакурако,okhara-sakurako
Ши Бай Юй,shi-bai-iui
Чжао Цин,chzhao-tsin
И Бо Чэнь,i-bo-chen
О Се Хун,o-se-khun
Ониси Рюсэй,onisi-riusei
Сюань Лу,siuan-lu
Ким Чон Хва,kim-chon-khva
Каона Киттипат Кэучарын,kaona-kittipat-keucharyn
Е Шэн Цзя,e-shen-tszia
Цяо Чжэнь Юй,tsiao-chzhen-iui
Им Джи Кю,im-dzhi-kiu
Ма Синь Мо,ma-sin-mo
О Ён Силь,o-ion-sil
Пак Се Ён,pak-se-ion
Сунь Чжэнь Ни,sun-chzhen-ni
Райку,raiku
Чжу Чжи Хун,chzhu-chzhi-khun
Цай Вэнь Цзин,tsai-ven-tszin
Ван Хао Сюань,van-khao-siuan
Сакурай Кайто,sakurai-kaito
Су Сяо Тун,su-siao-tun
Сато Арата,sato-arata
Квон Юль,kvon-iul
Чжин Со Ён,chzhin-so-ion
Ом Хё Соп,om-khio-sop
Чу У Чжэ,chu-u-chzhe
Чжин Гу,chzhin-gu
Рю Кён Су,riu-kion-su
Сы Юэ,sy-iue
Сюй Чжэн Си,siui-chzhen-si
Ю Джун Сан,iu-dzhun-san
Чжоу И Вэй,chzhou-i-vei
Лю И Хао,liu-i-khao
Тик Тжесадапон Понди,tik-tzhesadapon-pondi
Ли Се Ён,li-se-ion
Шао Вэй Тун,shao-vei-tun
Ким У Бин,kim-u-bin
Хун Яо,khun-iao
У Тянь Хао,u-tian-khao
Ким Юн Чжин,kim-iun-chzhin
Чон Ун Ин,chon-un-in
У Кан Жэнь,u-kan-zhen
Ань Юэ Си,an-iue-si
Ён У Чжин,ion-u-chzhin
Мью Суппасит Тончививат,miu-suppasit-tonchivivat
Сугино Ёсукэ,sugino-iosuke
Чон Ый Джэ,chon-yi-dzhe
Адати Рика,adati-rika
Дуань Син Юй,duan-sin-iui
Чжан Хань,chzhan-khan
Чжан Хао Вэй,chzhan-khao-vei
Чжэн Юнь Лун,chzhen-iun-lun
Чон У,chon-u
Чжан Я Цинь,chzhan-ia-tsin
Кан Даниэль,kan-daniel
Син Ын Гён,sin-yn-gion
Ким Го Ын,kim-go-yn
Тан И Синь,tan-i-sin
Со Джи Хе,so-dzhi-khe
Чжан Хуэй Вэнь,chzhan-khuei-ven
Чэнь Жо Сюань,chen-zho-siuan
У Сяо Лян,u-siao-lian
Чжао Да,chzhao-da
Ван И Бо,van-i-bo
Ким И Гён,kim-i-gion
Ян Хе Джи,ian-khe-dzhi
Пак Хэ Чжин,pak-khe-chzhin
Чхэ Су Бин,chkhe-su-bin
Вунсен Виритипа Пакдипрасон,vunsen-viritipa-pakdiprason
Ли Чжи А,li-chzhi-a
Ли Чуань,li-chuan
Син Со Хён,sin-so-khion
Пэн Сяо Жань,pen-siao-zhan
Юн Ши Юн,iun-shi-iun
Китисэ Митико,kitise-mitiko
Тун Ли Я,tun-li-ia
Пак Си У,pak-si-u
Фудзиока Дин,fudzioka-din
Ли Чон Вон,li-chon-von
Ким Юн Тэ,kim-iun-te
Нун Воранут Пиромпакди,nun-voranut-pirompakdi
Чжан Цзя Шуо,chzhan-tszia-shuo
Койдэ Кэйсукэ,koide-keisuke
Ким Хён Джин,kim-khion-dzhin
Чэнь Юй Ци,chen-iui-tsi